INPUT_TABLE
Variable ID
ItemName_Unmgd

region,AgSupplySector,AgSupplySubsector,UnmanagedLandTechnology,year,itemName
China,UnmanagedLand,Savannah BurningAEZ04,Savannah BurningAEZ04,2095,GrasslandAEZ04
China,UnmanagedLand,DeforestationAEZ04,DeforestationAEZ04,2095,UnmanagedForestAEZ04
China,UnmanagedLand,Forest FiresAEZ04,Forest FiresAEZ04,2095,UnmanagedForestAEZ04
India,UnmanagedLand,Savannah BurningAEZ04,Savannah BurningAEZ04,2095,GrasslandAEZ04
India,UnmanagedLand,DeforestationAEZ04,DeforestationAEZ04,2095,UnmanagedForestAEZ04
India,UnmanagedLand,Forest FiresAEZ04,Forest FiresAEZ04,2095,UnmanagedForestAEZ04
Latin America,UnmanagedLand,Savannah BurningAEZ04,Savannah BurningAEZ04,2095,GrasslandAEZ04
Latin America,UnmanagedLand,DeforestationAEZ04,DeforestationAEZ04,2095,UnmanagedForestAEZ04
Latin America,UnmanagedLand,Forest FiresAEZ04,Forest FiresAEZ04,2095,UnmanagedForestAEZ04
Southeast Asia,UnmanagedLand,Savannah BurningAEZ04,Savannah BurningAEZ04,2095,GrasslandAEZ04
Southeast Asia,UnmanagedLand,DeforestationAEZ04,DeforestationAEZ04,2095,UnmanagedForestAEZ04
Southeast Asia,UnmanagedLand,Forest FiresAEZ04,Forest FiresAEZ04,2095,UnmanagedForestAEZ04
Western Europe,UnmanagedLand,Savannah BurningAEZ04,Savannah BurningAEZ04,2095,GrasslandAEZ04
Africa,UnmanagedLand,Savannah BurningAEZ05,Savannah BurningAEZ05,2095,GrasslandAEZ05
Africa,UnmanagedLand,DeforestationAEZ05,DeforestationAEZ05,2095,UnmanagedForestAEZ05
Africa,UnmanagedLand,Forest FiresAEZ05,Forest FiresAEZ05,2095,UnmanagedForestAEZ05
Australia_NZ,UnmanagedLand,Savannah BurningAEZ05,Savannah BurningAEZ05,2095,GrasslandAEZ05
Australia_NZ,UnmanagedLand,DeforestationAEZ05,DeforestationAEZ05,2095,UnmanagedForestAEZ05
Australia_NZ,UnmanagedLand,Forest FiresAEZ05,Forest FiresAEZ05,2095,UnmanagedForestAEZ05
China,UnmanagedLand,Savannah BurningAEZ05,Savannah BurningAEZ05,2095,GrasslandAEZ05
China,UnmanagedLand,DeforestationAEZ05,DeforestationAEZ05,2095,UnmanagedForestAEZ05
China,UnmanagedLand,Forest FiresAEZ05,Forest FiresAEZ05,2095,UnmanagedForestAEZ05
India,UnmanagedLand,Savannah BurningAEZ05,Savannah BurningAEZ05,2095,GrasslandAEZ05
India,UnmanagedLand,DeforestationAEZ05,DeforestationAEZ05,2095,UnmanagedForestAEZ05
India,UnmanagedLand,Forest FiresAEZ05,Forest FiresAEZ05,2095,UnmanagedForestAEZ05
Latin America,UnmanagedLand,Savannah BurningAEZ05,Savannah BurningAEZ05,2095,GrasslandAEZ05
Latin America,UnmanagedLand,DeforestationAEZ05,DeforestationAEZ05,2095,UnmanagedForestAEZ05
Latin America,UnmanagedLand,Forest FiresAEZ05,Forest FiresAEZ05,2095,UnmanagedForestAEZ05
Southeast Asia,UnmanagedLand,Savannah BurningAEZ05,Savannah BurningAEZ05,2095,GrasslandAEZ05
Southeast Asia,UnmanagedLand,DeforestationAEZ05,DeforestationAEZ05,2095,UnmanagedForestAEZ05
Southeast Asia,UnmanagedLand,Forest FiresAEZ05,Forest FiresAEZ05,2095,UnmanagedForestAEZ05
Africa,UnmanagedLand,Savannah BurningAEZ06,Savannah BurningAEZ06,2095,GrasslandAEZ06
Africa,UnmanagedLand,DeforestationAEZ06,DeforestationAEZ06,2095,UnmanagedForestAEZ06
Africa,UnmanagedLand,Forest FiresAEZ06,Forest FiresAEZ06,2095,UnmanagedForestAEZ06
Australia_NZ,UnmanagedLand,Savannah BurningAEZ06,Savannah BurningAEZ06,2095,GrasslandAEZ06
Australia_NZ,UnmanagedLand,DeforestationAEZ06,DeforestationAEZ06,2095,UnmanagedForestAEZ06
Australia_NZ,UnmanagedLand,Forest FiresAEZ06,Forest FiresAEZ06,2095,UnmanagedForestAEZ06
China,UnmanagedLand,Savannah BurningAEZ06,Savannah BurningAEZ06,2095,GrasslandAEZ06
China,UnmanagedLand,DeforestationAEZ06,DeforestationAEZ06,2095,UnmanagedForestAEZ06
China,UnmanagedLand,Forest FiresAEZ06,Forest FiresAEZ06,2095,UnmanagedForestAEZ06
India,UnmanagedLand,DeforestationAEZ06,DeforestationAEZ06,2095,UnmanagedForestAEZ06
India,UnmanagedLand,Forest FiresAEZ06,Forest FiresAEZ06,2095,UnmanagedForestAEZ06
Latin America,UnmanagedLand,Savannah BurningAEZ06,Savannah BurningAEZ06,2095,GrasslandAEZ06
Latin America,UnmanagedLand,DeforestationAEZ06,DeforestationAEZ06,2095,UnmanagedForestAEZ06
Latin America,UnmanagedLand,Forest FiresAEZ06,Forest FiresAEZ06,2095,UnmanagedForestAEZ06
Southeast Asia,UnmanagedLand,Savannah BurningAEZ06,Savannah BurningAEZ06,2095,GrasslandAEZ06
Southeast Asia,UnmanagedLand,DeforestationAEZ06,DeforestationAEZ06,2095,UnmanagedForestAEZ06
Southeast Asia,UnmanagedLand,Forest FiresAEZ06,Forest FiresAEZ06,2095,UnmanagedForestAEZ06
Africa,UnmanagedLand,Savannah BurningAEZ07,Savannah BurningAEZ07,2095,GrasslandAEZ07
Africa,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,2095,UnmanagedForestAEZ07
Africa,UnmanagedLand,Forest FiresAEZ07,Forest FiresAEZ07,2095,UnmanagedForestAEZ07
Australia_NZ,UnmanagedLand,Savannah BurningAEZ07,Savannah BurningAEZ07,2095,GrasslandAEZ07
Australia_NZ,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,2095,UnmanagedForestAEZ07
Australia_NZ,UnmanagedLand,Forest FiresAEZ07,Forest FiresAEZ07,2095,UnmanagedForestAEZ07
Canada,UnmanagedLand,Savannah BurningAEZ07,Savannah BurningAEZ07,2095,GrasslandAEZ07
Canada,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,2095,UnmanagedForestAEZ07
Canada,UnmanagedLand,Forest FiresAEZ07,Forest FiresAEZ07,2095,UnmanagedForestAEZ07
China,UnmanagedLand,Savannah BurningAEZ07,Savannah BurningAEZ07,2095,GrasslandAEZ07
China,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,2095,UnmanagedForestAEZ07
China,UnmanagedLand,Forest FiresAEZ07,Forest FiresAEZ07,2095,UnmanagedForestAEZ07
Former Soviet Union,UnmanagedLand,Savannah BurningAEZ07,Savannah BurningAEZ07,2095,GrasslandAEZ07
Former Soviet Union,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,2095,UnmanagedForestAEZ07
Former Soviet Union,UnmanagedLand,Forest FiresAEZ07,Forest FiresAEZ07,2095,UnmanagedForestAEZ07
Latin America,UnmanagedLand,Savannah BurningAEZ07,Savannah BurningAEZ07,2095,GrasslandAEZ07
Latin America,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,2095,UnmanagedForestAEZ07
Latin America,UnmanagedLand,Forest FiresAEZ07,Forest FiresAEZ07,2095,UnmanagedForestAEZ07
Middle East,UnmanagedLand,Savannah BurningAEZ07,Savannah BurningAEZ07,2095,GrasslandAEZ07
Middle East,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,2095,UnmanagedForestAEZ07
Middle East,UnmanagedLand,Forest FiresAEZ07,Forest FiresAEZ07,2095,UnmanagedForestAEZ07
Southeast Asia,UnmanagedLand,Savannah BurningAEZ07,Savannah BurningAEZ07,2095,GrasslandAEZ07
USA,UnmanagedLand,Savannah BurningAEZ07,Savannah BurningAEZ07,2095,GrasslandAEZ07
USA,UnmanagedLand,DeforestationAEZ07,DeforestationAEZ07,2095,UnmanagedForestAEZ07
USA,UnmanagedLand,Forest FiresAEZ07,Forest FiresAEZ07,2095,UnmanagedForestAEZ07
Western Europe,UnmanagedLand,Savannah BurningAEZ07,Savannah BurningAEZ07,2095,GrasslandAEZ07
Africa,UnmanagedLand,Savannah BurningAEZ08,Savannah BurningAEZ08,2095,GrasslandAEZ08
Africa,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,2095,UnmanagedForestAEZ08
Africa,UnmanagedLand,Forest FiresAEZ08,Forest FiresAEZ08,2095,UnmanagedForestAEZ08
Australia_NZ,UnmanagedLand,Savannah BurningAEZ08,Savannah BurningAEZ08,2095,GrasslandAEZ08
Australia_NZ,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,2095,UnmanagedForestAEZ08
Australia_NZ,UnmanagedLand,Forest FiresAEZ08,Forest FiresAEZ08,2095,UnmanagedForestAEZ08
Canada,UnmanagedLand,Savannah BurningAEZ08,Savannah BurningAEZ08,2095,GrasslandAEZ08
Canada,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,2095,UnmanagedForestAEZ08
Canada,UnmanagedLand,Forest FiresAEZ08,Forest FiresAEZ08,2095,UnmanagedForestAEZ08
China,UnmanagedLand,Savannah BurningAEZ08,Savannah BurningAEZ08,2095,GrasslandAEZ08
China,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,2095,UnmanagedForestAEZ08
China,UnmanagedLand,Forest FiresAEZ08,Forest FiresAEZ08,2095,UnmanagedForestAEZ08
Eastern Europe,UnmanagedLand,Savannah BurningAEZ08,Savannah BurningAEZ08,2095,GrasslandAEZ08
Eastern Europe,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,2095,UnmanagedForestAEZ08
Eastern Europe,UnmanagedLand,Forest FiresAEZ08,Forest FiresAEZ08,2095,UnmanagedForestAEZ08
Former Soviet Union,UnmanagedLand,Savannah BurningAEZ08,Savannah BurningAEZ08,2095,GrasslandAEZ08
Former Soviet Union,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,2095,UnmanagedForestAEZ08
Former Soviet Union,UnmanagedLand,Forest FiresAEZ08,Forest FiresAEZ08,2095,UnmanagedForestAEZ08
India,UnmanagedLand,Savannah BurningAEZ08,Savannah BurningAEZ08,2095,GrasslandAEZ08
India,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,2095,UnmanagedForestAEZ08
India,UnmanagedLand,Forest FiresAEZ08,Forest FiresAEZ08,2095,UnmanagedForestAEZ08
Latin America,UnmanagedLand,Savannah BurningAEZ08,Savannah BurningAEZ08,2095,GrasslandAEZ08
Latin America,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,2095,UnmanagedForestAEZ08
Latin America,UnmanagedLand,Forest FiresAEZ08,Forest FiresAEZ08,2095,UnmanagedForestAEZ08
Middle East,UnmanagedLand,Savannah BurningAEZ08,Savannah BurningAEZ08,2095,GrasslandAEZ08
Middle East,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,2095,UnmanagedForestAEZ08
Middle East,UnmanagedLand,Forest FiresAEZ08,Forest FiresAEZ08,2095,UnmanagedForestAEZ08
Southeast Asia,UnmanagedLand,Savannah BurningAEZ08,Savannah BurningAEZ08,2095,GrasslandAEZ08
Southeast Asia,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,2095,UnmanagedForestAEZ08
Southeast Asia,UnmanagedLand,Forest FiresAEZ08,Forest FiresAEZ08,2095,UnmanagedForestAEZ08
USA,UnmanagedLand,Savannah BurningAEZ08,Savannah BurningAEZ08,2095,GrasslandAEZ08
USA,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,2095,UnmanagedForestAEZ08
USA,UnmanagedLand,Forest FiresAEZ08,Forest FiresAEZ08,2095,UnmanagedForestAEZ08
Western Europe,UnmanagedLand,Savannah BurningAEZ08,Savannah BurningAEZ08,2095,GrasslandAEZ08
Western Europe,UnmanagedLand,DeforestationAEZ08,DeforestationAEZ08,2095,UnmanagedForestAEZ08
Western Europe,UnmanagedLand,Forest FiresAEZ08,Forest FiresAEZ08,2095,UnmanagedForestAEZ08
Africa,UnmanagedLand,Savannah BurningAEZ09,Savannah BurningAEZ09,2095,GrasslandAEZ09
Africa,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,2095,UnmanagedForestAEZ09
Africa,UnmanagedLand,Forest FiresAEZ09,Forest FiresAEZ09,2095,UnmanagedForestAEZ09
Australia_NZ,UnmanagedLand,Savannah BurningAEZ09,Savannah BurningAEZ09,2095,GrasslandAEZ09
Australia_NZ,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,2095,UnmanagedForestAEZ09
Australia_NZ,UnmanagedLand,Forest FiresAEZ09,Forest FiresAEZ09,2095,UnmanagedForestAEZ09
Canada,UnmanagedLand,Savannah BurningAEZ09,Savannah BurningAEZ09,2095,GrasslandAEZ09
Canada,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,2095,UnmanagedForestAEZ09
Canada,UnmanagedLand,Forest FiresAEZ09,Forest FiresAEZ09,2095,UnmanagedForestAEZ09
China,UnmanagedLand,Savannah BurningAEZ09,Savannah BurningAEZ09,2095,GrasslandAEZ09
China,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,2095,UnmanagedForestAEZ09
China,UnmanagedLand,Forest FiresAEZ09,Forest FiresAEZ09,2095,UnmanagedForestAEZ09
Eastern Europe,UnmanagedLand,Savannah BurningAEZ09,Savannah BurningAEZ09,2095,GrasslandAEZ09
Eastern Europe,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,2095,UnmanagedForestAEZ09
Eastern Europe,UnmanagedLand,Forest FiresAEZ09,Forest FiresAEZ09,2095,UnmanagedForestAEZ09
Former Soviet Union,UnmanagedLand,Savannah BurningAEZ09,Savannah BurningAEZ09,2095,GrasslandAEZ09
Former Soviet Union,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,2095,UnmanagedForestAEZ09
Former Soviet Union,UnmanagedLand,Forest FiresAEZ09,Forest FiresAEZ09,2095,UnmanagedForestAEZ09
India,UnmanagedLand,Savannah BurningAEZ09,Savannah BurningAEZ09,2095,GrasslandAEZ09
India,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,2095,UnmanagedForestAEZ09
India,UnmanagedLand,Forest FiresAEZ09,Forest FiresAEZ09,2095,UnmanagedForestAEZ09
Japan,UnmanagedLand,Savannah BurningAEZ09,Savannah BurningAEZ09,2095,GrasslandAEZ09
Japan,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,2095,UnmanagedForestAEZ09
Japan,UnmanagedLand,Forest FiresAEZ09,Forest FiresAEZ09,2095,UnmanagedForestAEZ09
Latin America,UnmanagedLand,Savannah BurningAEZ09,Savannah BurningAEZ09,2095,GrasslandAEZ09
Latin America,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,2095,UnmanagedForestAEZ09
Latin America,UnmanagedLand,Forest FiresAEZ09,Forest FiresAEZ09,2095,UnmanagedForestAEZ09
Middle East,UnmanagedLand,Savannah BurningAEZ09,Savannah BurningAEZ09,2095,GrasslandAEZ09
Middle East,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,2095,UnmanagedForestAEZ09
Middle East,UnmanagedLand,Forest FiresAEZ09,Forest FiresAEZ09,2095,UnmanagedForestAEZ09
Southeast Asia,UnmanagedLand,Savannah BurningAEZ09,Savannah BurningAEZ09,2095,GrasslandAEZ09
Southeast Asia,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,2095,UnmanagedForestAEZ09
Southeast Asia,UnmanagedLand,Forest FiresAEZ09,Forest FiresAEZ09,2095,UnmanagedForestAEZ09
USA,UnmanagedLand,Savannah BurningAEZ09,Savannah BurningAEZ09,2095,GrasslandAEZ09
USA,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,2095,UnmanagedForestAEZ09
USA,UnmanagedLand,Forest FiresAEZ09,Forest FiresAEZ09,2095,UnmanagedForestAEZ09
Western Europe,UnmanagedLand,Savannah BurningAEZ09,Savannah BurningAEZ09,2095,GrasslandAEZ09
Western Europe,UnmanagedLand,DeforestationAEZ09,DeforestationAEZ09,2095,UnmanagedForestAEZ09
Western Europe,UnmanagedLand,Forest FiresAEZ09,Forest FiresAEZ09,2095,UnmanagedForestAEZ09
Africa,UnmanagedLand,Savannah BurningAEZ10,Savannah BurningAEZ10,2095,GrasslandAEZ10
Africa,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,2095,UnmanagedForestAEZ10
Africa,UnmanagedLand,Forest FiresAEZ10,Forest FiresAEZ10,2095,UnmanagedForestAEZ10
Australia_NZ,UnmanagedLand,Savannah BurningAEZ10,Savannah BurningAEZ10,2095,GrasslandAEZ10
Australia_NZ,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,2095,UnmanagedForestAEZ10
Australia_NZ,UnmanagedLand,Forest FiresAEZ10,Forest FiresAEZ10,2095,UnmanagedForestAEZ10
Canada,UnmanagedLand,Savannah BurningAEZ10,Savannah BurningAEZ10,2095,GrasslandAEZ10
Canada,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,2095,UnmanagedForestAEZ10
Canada,UnmanagedLand,Forest FiresAEZ10,Forest FiresAEZ10,2095,UnmanagedForestAEZ10
China,UnmanagedLand,Savannah BurningAEZ10,Savannah BurningAEZ10,2095,GrasslandAEZ10
China,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,2095,UnmanagedForestAEZ10
China,UnmanagedLand,Forest FiresAEZ10,Forest FiresAEZ10,2095,UnmanagedForestAEZ10
Eastern Europe,UnmanagedLand,Savannah BurningAEZ10,Savannah BurningAEZ10,2095,GrasslandAEZ10
Eastern Europe,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,2095,UnmanagedForestAEZ10
Eastern Europe,UnmanagedLand,Forest FiresAEZ10,Forest FiresAEZ10,2095,UnmanagedForestAEZ10
Former Soviet Union,UnmanagedLand,Savannah BurningAEZ10,Savannah BurningAEZ10,2095,GrasslandAEZ10
Former Soviet Union,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,2095,UnmanagedForestAEZ10
Former Soviet Union,UnmanagedLand,Forest FiresAEZ10,Forest FiresAEZ10,2095,UnmanagedForestAEZ10
India,UnmanagedLand,Savannah BurningAEZ10,Savannah BurningAEZ10,2095,GrasslandAEZ10
India,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,2095,UnmanagedForestAEZ10
India,UnmanagedLand,Forest FiresAEZ10,Forest FiresAEZ10,2095,UnmanagedForestAEZ10
Japan,UnmanagedLand,Savannah BurningAEZ10,Savannah BurningAEZ10,2095,GrasslandAEZ10
Japan,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,2095,UnmanagedForestAEZ10
Japan,UnmanagedLand,Forest FiresAEZ10,Forest FiresAEZ10,2095,UnmanagedForestAEZ10
Korea,UnmanagedLand,Savannah BurningAEZ10,Savannah BurningAEZ10,2095,GrasslandAEZ10
Korea,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,2095,UnmanagedForestAEZ10
Korea,UnmanagedLand,Forest FiresAEZ10,Forest FiresAEZ10,2095,UnmanagedForestAEZ10
Latin America,UnmanagedLand,Savannah BurningAEZ10,Savannah BurningAEZ10,2095,GrasslandAEZ10
Latin America,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,2095,UnmanagedForestAEZ10
Latin America,UnmanagedLand,Forest FiresAEZ10,Forest FiresAEZ10,2095,UnmanagedForestAEZ10
Middle East,UnmanagedLand,Savannah BurningAEZ10,Savannah BurningAEZ10,2095,GrasslandAEZ10
Southeast Asia,UnmanagedLand,Savannah BurningAEZ10,Savannah BurningAEZ10,2095,GrasslandAEZ10
Southeast Asia,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,2095,UnmanagedForestAEZ10
Southeast Asia,UnmanagedLand,Forest FiresAEZ10,Forest FiresAEZ10,2095,UnmanagedForestAEZ10
USA,UnmanagedLand,Savannah BurningAEZ10,Savannah BurningAEZ10,2095,GrasslandAEZ10
USA,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,2095,UnmanagedForestAEZ10
USA,UnmanagedLand,Forest FiresAEZ10,Forest FiresAEZ10,2095,UnmanagedForestAEZ10
Western Europe,UnmanagedLand,Savannah BurningAEZ10,Savannah BurningAEZ10,2095,GrasslandAEZ10
Western Europe,UnmanagedLand,DeforestationAEZ10,DeforestationAEZ10,2095,UnmanagedForestAEZ10
Western Europe,UnmanagedLand,Forest FiresAEZ10,Forest FiresAEZ10,2095,UnmanagedForestAEZ10
Africa,UnmanagedLand,Savannah BurningAEZ11,Savannah BurningAEZ11,2095,GrasslandAEZ11
Africa,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,2095,UnmanagedForestAEZ11
Africa,UnmanagedLand,Forest FiresAEZ11,Forest FiresAEZ11,2095,UnmanagedForestAEZ11
Australia_NZ,UnmanagedLand,Savannah BurningAEZ11,Savannah BurningAEZ11,2095,GrasslandAEZ11
Australia_NZ,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,2095,UnmanagedForestAEZ11
Australia_NZ,UnmanagedLand,Forest FiresAEZ11,Forest FiresAEZ11,2095,UnmanagedForestAEZ11
Canada,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,2095,UnmanagedForestAEZ11
Canada,UnmanagedLand,Forest FiresAEZ11,Forest FiresAEZ11,2095,UnmanagedForestAEZ11
China,UnmanagedLand,Savannah BurningAEZ11,Savannah BurningAEZ11,2095,GrasslandAEZ11
China,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,2095,UnmanagedForestAEZ11
China,UnmanagedLand,Forest FiresAEZ11,Forest FiresAEZ11,2095,UnmanagedForestAEZ11
Eastern Europe,UnmanagedLand,Savannah BurningAEZ11,Savannah BurningAEZ11,2095,GrasslandAEZ11
Eastern Europe,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,2095,UnmanagedForestAEZ11
Eastern Europe,UnmanagedLand,Forest FiresAEZ11,Forest FiresAEZ11,2095,UnmanagedForestAEZ11
Former Soviet Union,UnmanagedLand,Savannah BurningAEZ11,Savannah BurningAEZ11,2095,GrasslandAEZ11
Former Soviet Union,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,2095,UnmanagedForestAEZ11
Former Soviet Union,UnmanagedLand,Forest FiresAEZ11,Forest FiresAEZ11,2095,UnmanagedForestAEZ11
India,UnmanagedLand,Savannah BurningAEZ11,Savannah BurningAEZ11,2095,GrasslandAEZ11
India,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,2095,UnmanagedForestAEZ11
India,UnmanagedLand,Forest FiresAEZ11,Forest FiresAEZ11,2095,UnmanagedForestAEZ11
Japan,UnmanagedLand,Savannah BurningAEZ11,Savannah BurningAEZ11,2095,GrasslandAEZ11
Japan,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,2095,UnmanagedForestAEZ11
Japan,UnmanagedLand,Forest FiresAEZ11,Forest FiresAEZ11,2095,UnmanagedForestAEZ11
Korea,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,2095,UnmanagedForestAEZ11
Korea,UnmanagedLand,Forest FiresAEZ11,Forest FiresAEZ11,2095,UnmanagedForestAEZ11
Latin America,UnmanagedLand,Savannah BurningAEZ11,Savannah BurningAEZ11,2095,GrasslandAEZ11
Latin America,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,2095,UnmanagedForestAEZ11
Latin America,UnmanagedLand,Forest FiresAEZ11,Forest FiresAEZ11,2095,UnmanagedForestAEZ11
Southeast Asia,UnmanagedLand,Savannah BurningAEZ11,Savannah BurningAEZ11,2095,GrasslandAEZ11
Southeast Asia,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,2095,UnmanagedForestAEZ11
Southeast Asia,UnmanagedLand,Forest FiresAEZ11,Forest FiresAEZ11,2095,UnmanagedForestAEZ11
USA,UnmanagedLand,Savannah BurningAEZ11,Savannah BurningAEZ11,2095,GrasslandAEZ11
USA,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,2095,UnmanagedForestAEZ11
USA,UnmanagedLand,Forest FiresAEZ11,Forest FiresAEZ11,2095,UnmanagedForestAEZ11
Western Europe,UnmanagedLand,Savannah BurningAEZ11,Savannah BurningAEZ11,2095,GrasslandAEZ11
Western Europe,UnmanagedLand,DeforestationAEZ11,DeforestationAEZ11,2095,UnmanagedForestAEZ11
Western Europe,UnmanagedLand,Forest FiresAEZ11,Forest FiresAEZ11,2095,UnmanagedForestAEZ11
Africa,UnmanagedLand,Savannah BurningAEZ12,Savannah BurningAEZ12,2095,GrasslandAEZ12
Africa,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,2095,UnmanagedForestAEZ12
Africa,UnmanagedLand,Forest FiresAEZ12,Forest FiresAEZ12,2095,UnmanagedForestAEZ12
Australia_NZ,UnmanagedLand,Savannah BurningAEZ12,Savannah BurningAEZ12,2095,GrasslandAEZ12
Australia_NZ,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,2095,UnmanagedForestAEZ12
Australia_NZ,UnmanagedLand,Forest FiresAEZ12,Forest FiresAEZ12,2095,UnmanagedForestAEZ12
China,UnmanagedLand,Savannah BurningAEZ12,Savannah BurningAEZ12,2095,GrasslandAEZ12
China,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,2095,UnmanagedForestAEZ12
China,UnmanagedLand,Forest FiresAEZ12,Forest FiresAEZ12,2095,UnmanagedForestAEZ12
Eastern Europe,UnmanagedLand,Savannah BurningAEZ12,Savannah BurningAEZ12,2095,GrasslandAEZ12
Eastern Europe,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,2095,UnmanagedForestAEZ12
Eastern Europe,UnmanagedLand,Forest FiresAEZ12,Forest FiresAEZ12,2095,UnmanagedForestAEZ12
Former Soviet Union,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,2095,UnmanagedForestAEZ12
Former Soviet Union,UnmanagedLand,Forest FiresAEZ12,Forest FiresAEZ12,2095,UnmanagedForestAEZ12
India,UnmanagedLand,Savannah BurningAEZ12,Savannah BurningAEZ12,2095,GrasslandAEZ12
India,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,2095,UnmanagedForestAEZ12
India,UnmanagedLand,Forest FiresAEZ12,Forest FiresAEZ12,2095,UnmanagedForestAEZ12
Japan,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,2095,UnmanagedForestAEZ12
Japan,UnmanagedLand,Forest FiresAEZ12,Forest FiresAEZ12,2095,UnmanagedForestAEZ12
Latin America,UnmanagedLand,Savannah BurningAEZ12,Savannah BurningAEZ12,2095,GrasslandAEZ12
Latin America,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,2095,UnmanagedForestAEZ12
Latin America,UnmanagedLand,Forest FiresAEZ12,Forest FiresAEZ12,2095,UnmanagedForestAEZ12
Southeast Asia,UnmanagedLand,Savannah BurningAEZ12,Savannah BurningAEZ12,2095,GrasslandAEZ12
Southeast Asia,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,2095,UnmanagedForestAEZ12
Southeast Asia,UnmanagedLand,Forest FiresAEZ12,Forest FiresAEZ12,2095,UnmanagedForestAEZ12
USA,UnmanagedLand,Savannah BurningAEZ12,Savannah BurningAEZ12,2095,GrasslandAEZ12
USA,UnmanagedLand,DeforestationAEZ12,DeforestationAEZ12,2095,UnmanagedForestAEZ12
USA,UnmanagedLand,Forest FiresAEZ12,Forest FiresAEZ12,2095,UnmanagedForestAEZ12
