INPUT_TABLE
Variable ID
LN1_UnmgdCarbon

region,LandAllocatorRoot,LandNode1,UnmanagedLandLeaf1,hist.veg.carbon.density,hist.soil.carbon.density,veg.carbon.density,soil.carbon.density,mature.age,min.veg.carbon.density,min.soil.carbon.density,Land_Type,AEZ,Cdensity_LT
Korea,root,UrbanLandAEZ01,UrbanLandAEZ01,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ01,Urbanland
India,root,UrbanLandAEZ01,UrbanLandAEZ01,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ01,Urbanland
USA,root,RockIceDesertAEZ02,RockIceDesertAEZ02,0,0,0,0,0,0,0,RockIceDesert,AEZ02,RockIceDesert
Canada,root,RockIceDesertAEZ02,RockIceDesertAEZ02,0,0,0,0,0,0,0,RockIceDesert,AEZ02,RockIceDesert
Western Europe,root,RockIceDesertAEZ02,RockIceDesertAEZ02,0,0,0,0,0,0,0,RockIceDesert,AEZ02,RockIceDesert
Japan,root,RockIceDesertAEZ02,RockIceDesertAEZ02,0,0,0,0,0,0,0,RockIceDesert,AEZ02,RockIceDesert
Australia_NZ,root,RockIceDesertAEZ02,RockIceDesertAEZ02,0,0,0,0,0,0,0,RockIceDesert,AEZ02,RockIceDesert
Former Soviet Union,root,RockIceDesertAEZ02,RockIceDesertAEZ02,0,0,0,0,0,0,0,RockIceDesert,AEZ02,RockIceDesert
China,root,RockIceDesertAEZ02,RockIceDesertAEZ02,0,0,0,0,0,0,0,RockIceDesert,AEZ02,RockIceDesert
Middle East,root,RockIceDesertAEZ02,RockIceDesertAEZ02,0.1,3.8,0.1,3.8,50,0,0,RockIceDesert,AEZ02,RockIceDesert
Africa,root,RockIceDesertAEZ02,RockIceDesertAEZ02,0.1,3.8,0.1,3.8,50,0,0,RockIceDesert,AEZ02,RockIceDesert
Latin America,root,RockIceDesertAEZ02,RockIceDesertAEZ02,0.1,3.8,0.1,3.8,50,0,0,RockIceDesert,AEZ02,RockIceDesert
Southeast Asia,root,RockIceDesertAEZ02,RockIceDesertAEZ02,0,0,0,0,0,0,0,RockIceDesert,AEZ02,RockIceDesert
Eastern Europe,root,RockIceDesertAEZ02,RockIceDesertAEZ02,0,0,0,0,0,0,0,RockIceDesert,AEZ02,RockIceDesert
Korea,root,RockIceDesertAEZ02,RockIceDesertAEZ02,0,0,0,0,0,0,0,RockIceDesert,AEZ02,RockIceDesert
India,root,RockIceDesertAEZ02,RockIceDesertAEZ02,0.1,3.8,0.1,3.8,50,0,0,RockIceDesert,AEZ02,RockIceDesert
USA,root,TundraAEZ02,TundraAEZ02,0,0,0,0,0,0,0,Tundra,AEZ02,Tundra
Canada,root,TundraAEZ02,TundraAEZ02,0,0,0,0,0,0,0,Tundra,AEZ02,Tundra
Western Europe,root,TundraAEZ02,TundraAEZ02,0,0,0,0,0,0,0,Tundra,AEZ02,Tundra
Japan,root,TundraAEZ02,TundraAEZ02,0,0,0,0,0,0,0,Tundra,AEZ02,Tundra
Australia_NZ,root,TundraAEZ02,TundraAEZ02,0,0,0,0,0,0,0,Tundra,AEZ02,Tundra
Former Soviet Union,root,TundraAEZ02,TundraAEZ02,0,0,0,0,0,0,0,Tundra,AEZ02,Tundra
China,root,TundraAEZ02,TundraAEZ02,0,0,0,0,0,0,0,Tundra,AEZ02,Tundra
Middle East,root,TundraAEZ02,TundraAEZ02,0,0,0,0,0,0,0,Tundra,AEZ02,Tundra
Africa,root,TundraAEZ02,TundraAEZ02,0,0,0,0,0,0,0,Tundra,AEZ02,Tundra
Latin America,root,TundraAEZ02,TundraAEZ02,0.9,14,0.9,14,50,0,0,Tundra,AEZ02,Tundra
Southeast Asia,root,TundraAEZ02,TundraAEZ02,0,0,0,0,0,0,0,Tundra,AEZ02,Tundra
Eastern Europe,root,TundraAEZ02,TundraAEZ02,0,0,0,0,0,0,0,Tundra,AEZ02,Tundra
Korea,root,TundraAEZ02,TundraAEZ02,0,0,0,0,0,0,0,Tundra,AEZ02,Tundra
India,root,TundraAEZ02,TundraAEZ02,0,0,0,0,0,0,0,Tundra,AEZ02,Tundra
USA,root,UrbanLandAEZ02,UrbanLandAEZ02,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ02,Urbanland
Canada,root,UrbanLandAEZ02,UrbanLandAEZ02,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ02,Urbanland
Western Europe,root,UrbanLandAEZ02,UrbanLandAEZ02,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ02,Urbanland
Japan,root,UrbanLandAEZ02,UrbanLandAEZ02,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ02,Urbanland
Australia_NZ,root,UrbanLandAEZ02,UrbanLandAEZ02,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ02,Urbanland
Former Soviet Union,root,UrbanLandAEZ02,UrbanLandAEZ02,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ02,Urbanland
China,root,UrbanLandAEZ02,UrbanLandAEZ02,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ02,Urbanland
Middle East,root,UrbanLandAEZ02,UrbanLandAEZ02,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ02,Urbanland
Africa,root,UrbanLandAEZ02,UrbanLandAEZ02,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ02,Urbanland
Latin America,root,UrbanLandAEZ02,UrbanLandAEZ02,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ02,Urbanland
Southeast Asia,root,UrbanLandAEZ02,UrbanLandAEZ02,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ02,Urbanland
Eastern Europe,root,UrbanLandAEZ02,UrbanLandAEZ02,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ02,Urbanland
Korea,root,UrbanLandAEZ02,UrbanLandAEZ02,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ02,Urbanland
India,root,UrbanLandAEZ02,UrbanLandAEZ02,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ02,Urbanland
USA,root,RockIceDesertAEZ03,RockIceDesertAEZ03,0,0,0,0,0,0,0,RockIceDesert,AEZ03,RockIceDesert
Canada,root,RockIceDesertAEZ03,RockIceDesertAEZ03,0,0,0,0,0,0,0,RockIceDesert,AEZ03,RockIceDesert
Western Europe,root,RockIceDesertAEZ03,RockIceDesertAEZ03,0,0,0,0,0,0,0,RockIceDesert,AEZ03,RockIceDesert
Japan,root,RockIceDesertAEZ03,RockIceDesertAEZ03,0,0,0,0,0,0,0,RockIceDesert,AEZ03,RockIceDesert
Australia_NZ,root,RockIceDesertAEZ03,RockIceDesertAEZ03,0,0,0,0,0,0,0,RockIceDesert,AEZ03,RockIceDesert
Former Soviet Union,root,RockIceDesertAEZ03,RockIceDesertAEZ03,0,0,0,0,0,0,0,RockIceDesert,AEZ03,RockIceDesert
China,root,RockIceDesertAEZ03,RockIceDesertAEZ03,0,0,0,0,0,0,0,RockIceDesert,AEZ03,RockIceDesert
Middle East,root,RockIceDesertAEZ03,RockIceDesertAEZ03,0,0,0,0,0,0,0,RockIceDesert,AEZ03,RockIceDesert
Africa,root,RockIceDesertAEZ03,RockIceDesertAEZ03,0.1,3.8,0.1,3.8,50,0,0,RockIceDesert,AEZ03,RockIceDesert
Latin America,root,RockIceDesertAEZ03,RockIceDesertAEZ03,0.1,3.8,0.1,3.8,50,0,0,RockIceDesert,AEZ03,RockIceDesert
Southeast Asia,root,RockIceDesertAEZ03,RockIceDesertAEZ03,0,0,0,0,0,0,0,RockIceDesert,AEZ03,RockIceDesert
Eastern Europe,root,RockIceDesertAEZ03,RockIceDesertAEZ03,0,0,0,0,0,0,0,RockIceDesert,AEZ03,RockIceDesert
Korea,root,RockIceDesertAEZ03,RockIceDesertAEZ03,0,0,0,0,0,0,0,RockIceDesert,AEZ03,RockIceDesert
India,root,RockIceDesertAEZ03,RockIceDesertAEZ03,0,0,0,0,0,0,0,RockIceDesert,AEZ03,RockIceDesert
USA,root,TundraAEZ03,TundraAEZ03,0,0,0,0,0,0,0,Tundra,AEZ03,Tundra
Canada,root,TundraAEZ03,TundraAEZ03,0,0,0,0,0,0,0,Tundra,AEZ03,Tundra
Western Europe,root,TundraAEZ03,TundraAEZ03,0,0,0,0,0,0,0,Tundra,AEZ03,Tundra
Japan,root,TundraAEZ03,TundraAEZ03,0,0,0,0,0,0,0,Tundra,AEZ03,Tundra
Australia_NZ,root,TundraAEZ03,TundraAEZ03,0,0,0,0,0,0,0,Tundra,AEZ03,Tundra
Former Soviet Union,root,TundraAEZ03,TundraAEZ03,0,0,0,0,0,0,0,Tundra,AEZ03,Tundra
China,root,TundraAEZ03,TundraAEZ03,0,0,0,0,0,0,0,Tundra,AEZ03,Tundra
Middle East,root,TundraAEZ03,TundraAEZ03,0,0,0,0,0,0,0,Tundra,AEZ03,Tundra
Africa,root,TundraAEZ03,TundraAEZ03,0,0,0,0,0,0,0,Tundra,AEZ03,Tundra
Latin America,root,TundraAEZ03,TundraAEZ03,0.9,18,0.9,18,50,0,0,Tundra,AEZ03,Tundra
Southeast Asia,root,TundraAEZ03,TundraAEZ03,0,0,0,0,0,0,0,Tundra,AEZ03,Tundra
Eastern Europe,root,TundraAEZ03,TundraAEZ03,0,0,0,0,0,0,0,Tundra,AEZ03,Tundra
Korea,root,TundraAEZ03,TundraAEZ03,0,0,0,0,0,0,0,Tundra,AEZ03,Tundra
India,root,TundraAEZ03,TundraAEZ03,0,0,0,0,0,0,0,Tundra,AEZ03,Tundra
USA,root,UrbanLandAEZ03,UrbanLandAEZ03,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ03,Urbanland
Canada,root,UrbanLandAEZ03,UrbanLandAEZ03,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ03,Urbanland
Western Europe,root,UrbanLandAEZ03,UrbanLandAEZ03,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ03,Urbanland
Japan,root,UrbanLandAEZ03,UrbanLandAEZ03,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ03,Urbanland
Australia_NZ,root,UrbanLandAEZ03,UrbanLandAEZ03,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ03,Urbanland
Former Soviet Union,root,UrbanLandAEZ03,UrbanLandAEZ03,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ03,Urbanland
China,root,UrbanLandAEZ03,UrbanLandAEZ03,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ03,Urbanland
Middle East,root,UrbanLandAEZ03,UrbanLandAEZ03,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ03,Urbanland
Africa,root,UrbanLandAEZ03,UrbanLandAEZ03,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ03,Urbanland
Latin America,root,UrbanLandAEZ03,UrbanLandAEZ03,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ03,Urbanland
Southeast Asia,root,UrbanLandAEZ03,UrbanLandAEZ03,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ03,Urbanland
Eastern Europe,root,UrbanLandAEZ03,UrbanLandAEZ03,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ03,Urbanland
Korea,root,UrbanLandAEZ03,UrbanLandAEZ03,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ03,Urbanland
India,root,UrbanLandAEZ03,UrbanLandAEZ03,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ03,Urbanland
USA,root,RockIceDesertAEZ04,RockIceDesertAEZ04,0,0,0,0,0,0,0,RockIceDesert,AEZ04,RockIceDesert
Canada,root,RockIceDesertAEZ04,RockIceDesertAEZ04,0,0,0,0,0,0,0,RockIceDesert,AEZ04,RockIceDesert
Western Europe,root,RockIceDesertAEZ04,RockIceDesertAEZ04,0,0,0,0,0,0,0,RockIceDesert,AEZ04,RockIceDesert
Japan,root,RockIceDesertAEZ04,RockIceDesertAEZ04,0,0,0,0,0,0,0,RockIceDesert,AEZ04,RockIceDesert
Australia_NZ,root,RockIceDesertAEZ04,RockIceDesertAEZ04,0,0,0,0,0,0,0,RockIceDesert,AEZ04,RockIceDesert
Former Soviet Union,root,RockIceDesertAEZ04,RockIceDesertAEZ04,0,0,0,0,0,0,0,RockIceDesert,AEZ04,RockIceDesert
China,root,RockIceDesertAEZ04,RockIceDesertAEZ04,0,0,0,0,0,0,0,RockIceDesert,AEZ04,RockIceDesert
Middle East,root,RockIceDesertAEZ04,RockIceDesertAEZ04,0,0,0,0,0,0,0,RockIceDesert,AEZ04,RockIceDesert
Africa,root,RockIceDesertAEZ04,RockIceDesertAEZ04,0.1,3.8,0.1,3.8,50,0,0,RockIceDesert,AEZ04,RockIceDesert
Latin America,root,RockIceDesertAEZ04,RockIceDesertAEZ04,0.1,3.8,0.1,3.8,50,0,0,RockIceDesert,AEZ04,RockIceDesert
Southeast Asia,root,RockIceDesertAEZ04,RockIceDesertAEZ04,0.1,3.8,0.1,3.8,50,0,0,RockIceDesert,AEZ04,RockIceDesert
Eastern Europe,root,RockIceDesertAEZ04,RockIceDesertAEZ04,0,0,0,0,0,0,0,RockIceDesert,AEZ04,RockIceDesert
Korea,root,RockIceDesertAEZ04,RockIceDesertAEZ04,0,0,0,0,0,0,0,RockIceDesert,AEZ04,RockIceDesert
India,root,RockIceDesertAEZ04,RockIceDesertAEZ04,0,0,0,0,0,0,0,RockIceDesert,AEZ04,RockIceDesert
USA,root,TundraAEZ04,TundraAEZ04,0,0,0,0,0,0,0,Tundra,AEZ04,Tundra
Canada,root,TundraAEZ04,TundraAEZ04,0,0,0,0,0,0,0,Tundra,AEZ04,Tundra
Western Europe,root,TundraAEZ04,TundraAEZ04,0,0,0,0,0,0,0,Tundra,AEZ04,Tundra
Japan,root,TundraAEZ04,TundraAEZ04,0,0,0,0,0,0,0,Tundra,AEZ04,Tundra
Australia_NZ,root,TundraAEZ04,TundraAEZ04,0,0,0,0,0,0,0,Tundra,AEZ04,Tundra
Former Soviet Union,root,TundraAEZ04,TundraAEZ04,0,0,0,0,0,0,0,Tundra,AEZ04,Tundra
China,root,TundraAEZ04,TundraAEZ04,0,0,0,0,0,0,0,Tundra,AEZ04,Tundra
Middle East,root,TundraAEZ04,TundraAEZ04,0,0,0,0,0,0,0,Tundra,AEZ04,Tundra
Africa,root,TundraAEZ04,TundraAEZ04,0,0,0,0,0,0,0,Tundra,AEZ04,Tundra
Latin America,root,TundraAEZ04,TundraAEZ04,0.9,22,0.9,22,50,0,0,Tundra,AEZ04,Tundra
Southeast Asia,root,TundraAEZ04,TundraAEZ04,0,0,0,0,0,0,0,Tundra,AEZ04,Tundra
Eastern Europe,root,TundraAEZ04,TundraAEZ04,0,0,0,0,0,0,0,Tundra,AEZ04,Tundra
Korea,root,TundraAEZ04,TundraAEZ04,0,0,0,0,0,0,0,Tundra,AEZ04,Tundra
India,root,TundraAEZ04,TundraAEZ04,0,0,0,0,0,0,0,Tundra,AEZ04,Tundra
USA,root,UrbanLandAEZ04,UrbanLandAEZ04,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ04,Urbanland
Canada,root,UrbanLandAEZ04,UrbanLandAEZ04,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ04,Urbanland
Western Europe,root,UrbanLandAEZ04,UrbanLandAEZ04,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ04,Urbanland
Japan,root,UrbanLandAEZ04,UrbanLandAEZ04,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ04,Urbanland
Australia_NZ,root,UrbanLandAEZ04,UrbanLandAEZ04,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ04,Urbanland
Former Soviet Union,root,UrbanLandAEZ04,UrbanLandAEZ04,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ04,Urbanland
China,root,UrbanLandAEZ04,UrbanLandAEZ04,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ04,Urbanland
Middle East,root,UrbanLandAEZ04,UrbanLandAEZ04,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ04,Urbanland
Africa,root,UrbanLandAEZ04,UrbanLandAEZ04,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ04,Urbanland
Latin America,root,UrbanLandAEZ04,UrbanLandAEZ04,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ04,Urbanland
Southeast Asia,root,UrbanLandAEZ04,UrbanLandAEZ04,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ04,Urbanland
Eastern Europe,root,UrbanLandAEZ04,UrbanLandAEZ04,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ04,Urbanland
Korea,root,UrbanLandAEZ04,UrbanLandAEZ04,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ04,Urbanland
India,root,UrbanLandAEZ04,UrbanLandAEZ04,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ04,Urbanland
USA,root,RockIceDesertAEZ05,RockIceDesertAEZ05,0,0,0,0,0,0,0,RockIceDesert,AEZ05,RockIceDesert
Canada,root,RockIceDesertAEZ05,RockIceDesertAEZ05,0,0,0,0,0,0,0,RockIceDesert,AEZ05,RockIceDesert
Western Europe,root,RockIceDesertAEZ05,RockIceDesertAEZ05,0,0,0,0,0,0,0,RockIceDesert,AEZ05,RockIceDesert
Japan,root,RockIceDesertAEZ05,RockIceDesertAEZ05,0,0,0,0,0,0,0,RockIceDesert,AEZ05,RockIceDesert
Australia_NZ,root,RockIceDesertAEZ05,RockIceDesertAEZ05,0,0,0,0,0,0,0,RockIceDesert,AEZ05,RockIceDesert
Former Soviet Union,root,RockIceDesertAEZ05,RockIceDesertAEZ05,0,0,0,0,0,0,0,RockIceDesert,AEZ05,RockIceDesert
China,root,RockIceDesertAEZ05,RockIceDesertAEZ05,0.1,3.8,0.1,3.8,50,0,0,RockIceDesert,AEZ05,RockIceDesert
Middle East,root,RockIceDesertAEZ05,RockIceDesertAEZ05,0,0,0,0,0,0,0,RockIceDesert,AEZ05,RockIceDesert
Africa,root,RockIceDesertAEZ05,RockIceDesertAEZ05,0.1,3.8,0.1,3.8,50,0,0,RockIceDesert,AEZ05,RockIceDesert
Latin America,root,RockIceDesertAEZ05,RockIceDesertAEZ05,0.1,3.8,0.1,3.8,50,0,0,RockIceDesert,AEZ05,RockIceDesert
Southeast Asia,root,RockIceDesertAEZ05,RockIceDesertAEZ05,0,0,0,0,0,0,0,RockIceDesert,AEZ05,RockIceDesert
Eastern Europe,root,RockIceDesertAEZ05,RockIceDesertAEZ05,0,0,0,0,0,0,0,RockIceDesert,AEZ05,RockIceDesert
Korea,root,RockIceDesertAEZ05,RockIceDesertAEZ05,0,0,0,0,0,0,0,RockIceDesert,AEZ05,RockIceDesert
India,root,RockIceDesertAEZ05,RockIceDesertAEZ05,0.1,3.8,0.1,3.8,50,0,0,RockIceDesert,AEZ05,RockIceDesert
USA,root,TundraAEZ05,TundraAEZ05,0,0,0,0,0,0,0,Tundra,AEZ05,Tundra
Canada,root,TundraAEZ05,TundraAEZ05,0,0,0,0,0,0,0,Tundra,AEZ05,Tundra
Western Europe,root,TundraAEZ05,TundraAEZ05,0,0,0,0,0,0,0,Tundra,AEZ05,Tundra
Japan,root,TundraAEZ05,TundraAEZ05,0,0,0,0,0,0,0,Tundra,AEZ05,Tundra
Australia_NZ,root,TundraAEZ05,TundraAEZ05,0,0,0,0,0,0,0,Tundra,AEZ05,Tundra
Former Soviet Union,root,TundraAEZ05,TundraAEZ05,0,0,0,0,0,0,0,Tundra,AEZ05,Tundra
China,root,TundraAEZ05,TundraAEZ05,0,0,0,0,0,0,0,Tundra,AEZ05,Tundra
Middle East,root,TundraAEZ05,TundraAEZ05,0,0,0,0,0,0,0,Tundra,AEZ05,Tundra
Africa,root,TundraAEZ05,TundraAEZ05,0,0,0,0,0,0,0,Tundra,AEZ05,Tundra
Latin America,root,TundraAEZ05,TundraAEZ05,0.9,26,0.9,26,50,0,0,Tundra,AEZ05,Tundra
Southeast Asia,root,TundraAEZ05,TundraAEZ05,0,0,0,0,0,0,0,Tundra,AEZ05,Tundra
Eastern Europe,root,TundraAEZ05,TundraAEZ05,0,0,0,0,0,0,0,Tundra,AEZ05,Tundra
Korea,root,TundraAEZ05,TundraAEZ05,0,0,0,0,0,0,0,Tundra,AEZ05,Tundra
India,root,TundraAEZ05,TundraAEZ05,0,0,0,0,0,0,0,Tundra,AEZ05,Tundra
USA,root,UrbanLandAEZ05,UrbanLandAEZ05,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ05,Urbanland
Canada,root,UrbanLandAEZ05,UrbanLandAEZ05,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ05,Urbanland
Western Europe,root,UrbanLandAEZ05,UrbanLandAEZ05,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ05,Urbanland
Japan,root,UrbanLandAEZ05,UrbanLandAEZ05,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ05,Urbanland
Australia_NZ,root,UrbanLandAEZ05,UrbanLandAEZ05,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ05,Urbanland
Former Soviet Union,root,UrbanLandAEZ05,UrbanLandAEZ05,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ05,Urbanland
China,root,UrbanLandAEZ05,UrbanLandAEZ05,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ05,Urbanland
Middle East,root,UrbanLandAEZ05,UrbanLandAEZ05,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ05,Urbanland
Africa,root,UrbanLandAEZ05,UrbanLandAEZ05,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ05,Urbanland
Latin America,root,UrbanLandAEZ05,UrbanLandAEZ05,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ05,Urbanland
Southeast Asia,root,UrbanLandAEZ05,UrbanLandAEZ05,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ05,Urbanland
Eastern Europe,root,UrbanLandAEZ05,UrbanLandAEZ05,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ05,Urbanland
Korea,root,UrbanLandAEZ05,UrbanLandAEZ05,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ05,Urbanland
India,root,UrbanLandAEZ05,UrbanLandAEZ05,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ05,Urbanland
USA,root,RockIceDesertAEZ06,RockIceDesertAEZ06,0,0,0,0,0,0,0,RockIceDesert,AEZ06,RockIceDesert
Canada,root,RockIceDesertAEZ06,RockIceDesertAEZ06,0,0,0,0,0,0,0,RockIceDesert,AEZ06,RockIceDesert
Western Europe,root,RockIceDesertAEZ06,RockIceDesertAEZ06,0,0,0,0,0,0,0,RockIceDesert,AEZ06,RockIceDesert
Japan,root,RockIceDesertAEZ06,RockIceDesertAEZ06,0,0,0,0,0,0,0,RockIceDesert,AEZ06,RockIceDesert
Australia_NZ,root,RockIceDesertAEZ06,RockIceDesertAEZ06,0,0,0,0,0,0,0,RockIceDesert,AEZ06,RockIceDesert
Former Soviet Union,root,RockIceDesertAEZ06,RockIceDesertAEZ06,0,0,0,0,0,0,0,RockIceDesert,AEZ06,RockIceDesert
China,root,RockIceDesertAEZ06,RockIceDesertAEZ06,0.1,3.8,0.1,3.8,50,0,0,RockIceDesert,AEZ06,RockIceDesert
Middle East,root,RockIceDesertAEZ06,RockIceDesertAEZ06,0,0,0,0,0,0,0,RockIceDesert,AEZ06,RockIceDesert
Africa,root,RockIceDesertAEZ06,RockIceDesertAEZ06,0.1,3.8,0.1,3.8,50,0,0,RockIceDesert,AEZ06,RockIceDesert
Latin America,root,RockIceDesertAEZ06,RockIceDesertAEZ06,0.1,3.8,0.1,3.8,50,0,0,RockIceDesert,AEZ06,RockIceDesert
Southeast Asia,root,RockIceDesertAEZ06,RockIceDesertAEZ06,0.1,3.8,0.1,3.8,50,0,0,RockIceDesert,AEZ06,RockIceDesert
Eastern Europe,root,RockIceDesertAEZ06,RockIceDesertAEZ06,0,0,0,0,0,0,0,RockIceDesert,AEZ06,RockIceDesert
Korea,root,RockIceDesertAEZ06,RockIceDesertAEZ06,0,0,0,0,0,0,0,RockIceDesert,AEZ06,RockIceDesert
India,root,RockIceDesertAEZ06,RockIceDesertAEZ06,0,0,0,0,0,0,0,RockIceDesert,AEZ06,RockIceDesert
USA,root,TundraAEZ06,TundraAEZ06,0,0,0,0,0,0,0,Tundra,AEZ06,Tundra
Canada,root,TundraAEZ06,TundraAEZ06,0,0,0,0,0,0,0,Tundra,AEZ06,Tundra
Western Europe,root,TundraAEZ06,TundraAEZ06,0,0,0,0,0,0,0,Tundra,AEZ06,Tundra
Japan,root,TundraAEZ06,TundraAEZ06,0,0,0,0,0,0,0,Tundra,AEZ06,Tundra
Australia_NZ,root,TundraAEZ06,TundraAEZ06,0,0,0,0,0,0,0,Tundra,AEZ06,Tundra
Former Soviet Union,root,TundraAEZ06,TundraAEZ06,0,0,0,0,0,0,0,Tundra,AEZ06,Tundra
China,root,TundraAEZ06,TundraAEZ06,0,0,0,0,0,0,0,Tundra,AEZ06,Tundra
Middle East,root,TundraAEZ06,TundraAEZ06,0,0,0,0,0,0,0,Tundra,AEZ06,Tundra
Africa,root,TundraAEZ06,TundraAEZ06,0,0,0,0,0,0,0,Tundra,AEZ06,Tundra
Latin America,root,TundraAEZ06,TundraAEZ06,0.9,30,0.9,30,50,0,0,Tundra,AEZ06,Tundra
Southeast Asia,root,TundraAEZ06,TundraAEZ06,0,0,0,0,0,0,0,Tundra,AEZ06,Tundra
Eastern Europe,root,TundraAEZ06,TundraAEZ06,0,0,0,0,0,0,0,Tundra,AEZ06,Tundra
Korea,root,TundraAEZ06,TundraAEZ06,0,0,0,0,0,0,0,Tundra,AEZ06,Tundra
India,root,TundraAEZ06,TundraAEZ06,0,0,0,0,0,0,0,Tundra,AEZ06,Tundra
USA,root,UrbanLandAEZ06,UrbanLandAEZ06,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ06,Urbanland
Canada,root,UrbanLandAEZ06,UrbanLandAEZ06,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ06,Urbanland
Western Europe,root,UrbanLandAEZ06,UrbanLandAEZ06,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ06,Urbanland
Japan,root,UrbanLandAEZ06,UrbanLandAEZ06,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ06,Urbanland
Australia_NZ,root,UrbanLandAEZ06,UrbanLandAEZ06,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ06,Urbanland
Former Soviet Union,root,UrbanLandAEZ06,UrbanLandAEZ06,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ06,Urbanland
China,root,UrbanLandAEZ06,UrbanLandAEZ06,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ06,Urbanland
Middle East,root,UrbanLandAEZ06,UrbanLandAEZ06,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ06,Urbanland
Africa,root,UrbanLandAEZ06,UrbanLandAEZ06,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ06,Urbanland
Latin America,root,UrbanLandAEZ06,UrbanLandAEZ06,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ06,Urbanland
Southeast Asia,root,UrbanLandAEZ06,UrbanLandAEZ06,0.3,5.8,0.3,5.8,1,0,0,UrbanLand,AEZ06,Urbanland
